# 装备统一格式：id,name,effectType,param,description
# effectType 取 DAMAGE_TYPE(对应属性招式威力提升,param 为 属性|倍率 如 FIRE|1.2)
#   / SUPER_EFFECTIVE(效果拔群时伤害提升,param 为倍率)
#   / END_TURN_HEAL(回合末按最大HP比例回血,param 为比例 如 0.0625)
#   / LIFE_STEAL(造成伤害吸血,param 为比例 如 0.125)
#   / FIRST_STRIKE(概率无视速度先手,param 为概率百分比 如 20)
#   / EVOLITE(未最终进化时双防提升,param 为倍率)
#   / PHYSICAL_DAMAGE(物理招式伤害提升,param 为倍率)
#   / SPECIAL_DAMAGE(特殊招式伤害提升,param 为倍率)
#   / LIFE_ORB(招式伤害提升且每次命中反伤,param 为 倍率|反伤比例)
#   / SPEED_MULTIPLIER(实际速度按倍率修正,param 为 倍率[|GROUND],第2段为 GROUND 时携带者被地面化)
#   / MOVE_LAST(同先制度时必定后出手,param 忽略)
#   / IGNORE_IMMUNITY(携带者失去属性免疫,0倍招式变1倍,param 忽略)
#   / GROUND_IMMUNE(免疫地面系招式,被地面系命中后消耗,param 忽略)
#   / POISON_HEAL(毒属性回复/非毒属性扣血,param 为 回血比例|扣血比例)
#   / END_TURN_STATUS(回合末陷入指定异常,param 为状态英文名 如 BURN / BADLY_POISON)
#   / WEATHER_DURATION(开启对应天气时延长回合数,param 为 天气英文名|回合数 如 SUNNY|8)
#   / FOCUS_SASH(满HP时受致死伤害保留1HP,触发后消耗,param 忽略)
#   / FOCUS_BAND(概率保留1HP,param 为概率百分比)
#   / CHOICE(讲究系:param 为 SPECIAL|倍率 或 SPEED|倍率,并把携带者锁在第一个用过的招式上)
#   / CURE_STATUS(树果:异常治疗,param 为 状态英文名[|状态英文名...] 或 ALL,如 PARALYSIS / POISON|BADLY_POISON)
#   / HEAL_HP(树果:HP 不高于阈值比例时回血,param 为 阈值比例|回复量,回复量<1 视为最大HP比例,>=1 视为固定点数)
#   / HEAL_PP(树果:招式 PP 归零时回补,param 为回复点数)
#   / RESIST_TYPE(树果:属性减伤,param 为 属性|承伤倍率[|ALWAYS],默认仅在效果拔群时触发,ALWAYS 时不看克制关系)
id,name,effectType,param,description
b_wiki,异奇果,HEAL_HP,0.25|0.125,HP 不高于 1/4 时回复最大 HP 的 1/8
b_aguav,乐芭果,HEAL_HP,0.25|0.125,HP 不高于 1/4 时回复最大 HP 的 1/8
b_iapapa,芭亚果,HEAL_HP,0.25|0.125,HP 不高于 1/4 时回复最大 HP 的 1/8
# 批次②树果：PP 回复（触发即消耗）
b_leppa,苹野果,HEAL_PP,10,招式 PP 耗尽时回复 10 PP
# 批次②树果：属性减伤（受效果拔群攻击时消耗）
b_occa,巧可果,RESIST_TYPE,FIRE|0.5,受到效果拔群的火属性招式时伤害减半
b_passho,千香果,RESIST_TYPE,WATER|0.5,受到效果拔群的水属性招式时伤害减半
b_wacan,烛木果,RESIST_TYPE,ELECTRIC|0.5,受到效果拔群的电属性招式时伤害减半
b_rindo,罗子果,RESIST_TYPE,GRASS|0.5,受到效果拔群的草属性招式时伤害减半
b_yache,番荔果,RESIST_TYPE,ICE|0.5,受到效果拔群的冰属性招式时伤害减半
b_chople,莲蒲果,RESIST_TYPE,FIGHTING|0.5,受到效果拔群的格斗属性招式时伤害减半
b_kebia,通通果,RESIST_TYPE,POISON|0.5,受到效果拔群的毒属性招式时伤害减半
b_shuca,腰木果,RESIST_TYPE,GROUND|0.5,受到效果拔群的地面属性招式时伤害减半
b_coba,扁樱果,RESIST_TYPE,FLYING|0.5,受到效果拔群的飞行属性招式时伤害减半
b_payapa,霹霹果,RESIST_TYPE,PSYCHIC|0.5,受到效果拔群的超能力属性招式时伤害减半
b_tanga,莓榴果,RESIST_TYPE,BUG|0.5,受到效果拔群的虫属性招式时伤害减半
b_charti,草蚕果,RESIST_TYPE,ROCK|0.5,受到效果拔群的岩石属性招式时伤害减半
b_kasib,佛柑果,RESIST_TYPE,GHOST|0.5,受到效果拔群的幽灵属性招式时伤害减半
b_haban,刺耳果,RESIST_TYPE,DARK|0.5,受到效果拔群的恶属性招式时伤害减半
b_roseli,洛玫果,RESIST_TYPE,FAIRY|0.5,受到效果拔群的妖精属性招式时伤害减半
b_babiri,灯浆果,RESIST_TYPE,NORMAL|0.5|ALWAYS,受到一般属性招式时伤害减半（一般属性无克制关系，故不看效果拔群）
